MAX_IMAGES,CHANNELS,ACC
1000,Y,0.41955555555555557
1000,Cb,0.5883333333333334
1000,Cr,0.5882222222222222
1000,Y-Cb,0.6912222222222222
1000,Y-Cr,0.7167777777777777
1000,Cb-Cr,0.785
1000,Y-Cb-Cr,0.7564444444444445
10000,Y,0.6864444444444444
10000,Cb,0.7856666666666666
10000,Cr,0.7808888888888889
10000,Y-Cb,0.7635555555555555
10000,Y-Cr,0.7668888888888888
10000,Cb-Cr,0.7965555555555556
10000,Y-Cb-Cr,0.7407777777777778
15000,Y,0.6654444444444444
15000,Cb,0.7915555555555556
15000,Cr,0.767
15000,Y-Cb,0.7942222222222223
15000,Y-Cr,0.786
15000,Cb-Cr,0.8096666666666666
15000,Y-Cb-Cr,0.8011111111111111
20000,Y,0.6313333333333333
20000,Cb,0.7752222222222223
20000,Cr,0.7777777777777778
20000,Y-Cb,0.808
20000,Y-Cr,0.817
20000,Cb-Cr,0.8185555555555556
